Local Route,Light Rail,Peak Service,Rapid Route,School,Other
9550,5044,100,10276,4876,2
1974,1898,0,4229,0,15
2968,1516,65,3449,51,0
16117,10940,417,19717,5204,82
10990,9004,323,15119,0,61
18527,11891,453,24856,5978,0
13057,6728,149,12883,5477,80
13863,9607,347,16725,1032,50
1902,3027,0,4360,0,23
4379,3044,17,5077,0,12
8512,6393,152,10362,0,87
16095,10856,326,20261,4967,69
12443,10295,328,17890,0,80
6164,3667,79,6893,0,30
13219,6963,171,13410,5472,69
2791,4820,0,6383,0,23
12547,6439,200,12671,5124,95
9704,7564,221,13175,0,49
13667,8693,261,15187,5042,80
10892,7901,285,13678,0,52
463,375,0,821,0,9
11548,9408,358,15663,0,53
19027,12400,389,22245,6246,86
14234,8392,207,14986,5025,56
2193,4014,0,4242,0,21
2896,1233,21,2944,0,17
1981,3575,0,4978,0,4
9088,4707,133,9814,4998,1
3568,1925,63,4240,76,1
1850,3215,0,4811,0,22
3798,7491,0,8072,0,4
15611,10477,440,21149,1104,0
2739,4731,0,6496,0,23
12111,8289,251,14338,4000,52
20092,12935,341,26149,5906,1
20567,12657,488,27379,6106,1
16352,10086,247,17849,5224,68
2960,5559,0,6751,0,15
16877,9874,338,17889,5379,46
2161,3355,0,4701,0,26
15700,9888,304,17787,4481,59
16351,10568,330,19222,4494,71
14221,8741,252,15995,5169,71
8318,6099,149,10430,0,38
12169,6935,234,13066,4429,45
10775,5557,278,13546,0,46
12851,7583,247,13798,4687,41
13580,9657,290,15701,3794,70
2565,4262,0,6097,0,17
17698,11639,381,21325,5154,100
14900,8802,273,15542,5224,59
2747,4827,0,6353,0,0
268,1026,0,555,0,0
1852,2574,0,4106,0,44
17243,11910,389,21503,5175,94
12462,6712,135,12340,4974,72
17404,11659,397,19945,5219,99
720,671,0,1207,0,13
2369,3698,0,5494,0,17
16101,10146,372,18204,4956,68
15979,9854,335,17356,5093,67
2518,4152,0,5776,0,19
3499,5626,0,7487,0,31
1236,1741,0,2807,0,16
11733,8605,292,15283,0,50
1903,2741,0,4100,3,30
14148,8159,250,15778,4983,57
14447,9308,232,16335,4022,63
15696,10831,340,18860,4967,100
19383,12433,423,26122,5532,0
14997,9650,255,16857,4129,63
18332,11412,461,24242,5646,0
4453,12927,0,11591,0,17
2748,4495,0,6210,0,31
15886,9178,315,16923,5688,77
3542,1892,28,3579,0,29
16429,10544,342,18785,5460,116
16129,10469,288,19650,4557,93
19295,12777,414,22585,6145,103
3049,4802,0,6306,0,21
12808,6968,228,12879,4762,37
17388,10862,405,19336,5180,76
10418,4666,256,12058,4119,1
11208,8572,318,16730,0,0
1675,3039,0,4089,0,11
1733,3050,0,4560,0,26
2694,5370,0,6621,0,18
13225,8420,168,15030,3992,60
2985,1637,47,3631,0,1
4493,5491,0,8024,0,26
1462,2109,0,3289,0,16
2785,3974,0,5481,0,0
16645,10955,318,19732,5263,88
2295,878,19,2177,0,26
14323,10425,337,17795,899,69
17194,11597,320,21456,5199,123
2355,3301,0,4917,0,10
11942,6103,186,11884,5176,46
16175,11031,404,19560,4910,93
2402,3283,0,4831,0,37
4245,7021,0,9361,0,23
18911,11382,451,24641,5685,0
14192,9730,179,16351,3768,60
3257,5240,0,7161,0,19
11328,5680,168,11624,5320,55
735,566,0,1081,0,7
10741,6438,181,11422,4195,51
15448,8964,283,16476,5744,70
15358,10217,325,18228,4487,54
2135,3430,0,4664,0,54
3224,5581,0,6530,0,19
15001,12534,458,24050,0,0
16216,10994,428,22018,3790,0
2750,7532,0,8097,0,17
15995,10805,387,20085,4808,61
12963,9891,448,19874,0,0
6891,4653,83,8183,0,28
15987,9962,407,21223,3715,0
15630,8950,323,16981,5399,49
2790,4347,0,6192,0,13
16514,9619,328,17408,5388,88
16880,11128,346,20140,6132,127
18699,11379,470,24549,5823,0
2367,936,23,2300,0,22
2123,3480,0,4871,0,33
4909,3966,15,5777,0,37
3193,5198,0,6824,0,23
16885,10819,404,19566,5203,61
2504,4610,0,5468,0,28
10558,8270,188,13371,0,43
3175,1776,83,4246,66,1
2284,3285,0,4916,0,1
4486,6634,0,9896,0,21
2859,4365,0,6086,0,16
6598,4140,93,7647,0,34
15211,9628,263,16764,4334,72
18011,11230,438,23009,5362,1
1956,3094,0,4346,0,26
8969,7382,204,12245,0,52
1859,3402,0,4810,0,14
18071,12974,336,23475,5376,0
12913,8520,193,14151,4191,51
1561,2038,0,3406,3,20
21070,13081,488,28678,6435,0
12201,6345,135,11943,5865,84
4836,5422,0,7219,0,0
1196,1694,0,2551,0,0
2481,4081,0,5865,0,19
9127,6749,150,11528,0,73
3681,5526,0,8276,0,17
8074,5410,122,9419,0,55
13661,10327,456,20720,0,0
14247,9179,244,15913,4754,78
1322,1648,0,2850,0,1
16134,10950,363,19270,4862,84
12072,9019,333,15175,0,81
1832,2356,0,3703,0,15
2729,4356,0,6234,0,23
11291,9204,302,15537,0,60
11369,8161,275,15282,0,74
4702,7521,0,10690,1,21
12975,10718,298,17709,0,83
315,1028,0,759,0,0
2523,4367,0,6804,0,15
4117,7197,0,9681,0,29
943,877,0,1592,0,0
2861,3732,0,5437,0,0
2814,5058,0,6904,0,26
15029,10092,263,17269,4393,74
863,944,0,1540,0,0
12639,7956,190,13976,4039,48
9658,5267,151,10691,4895,7
14834,9153,210,16181,4912,58
17482,11274,369,21350,4838,75
3846,5946,0,7858,0,19
14257,9527,281,16565,4184,98
9123,5189,113,9312,3660,57
4057,5780,0,8807,0,26
3868,5739,0,7922,0,24
10451,6524,113,11230,3746,63
15828,10402,327,18694,5447,73
4187,4398,0,5751,0,3
16418,10875,266,19091,4616,66
1657,2419,0,3710,0,21
11968,8770,313,15654,0,70
1682,4101,0,4065,0,10
3305,4974,0,6662,0,35
3736,5793,0,7739,0,16
18619,12012,461,24841,5947,0
5296,4955,12,5831,0,34
4965,6261,0,7801,0,0
10526,9139,138,14264,0,72
12828,11047,324,18995,0,61
16365,13887,252,20392,5262,94
3022,4629,0,6642,0,19
11957,6060,114,11081,5967,50
11782,9473,346,18310,0,0
18944,11412,354,21118,6354,103
12534,8169,227,13561,979,53
16684,9629,350,18049,4819,99
9662,9746,146,11635,0,116
15616,10487,364,19386,4704,162
1998,3158,0,4367,0,7
11925,5890,174,11641,5133,83
13539,6988,285,13699,5329,49
17135,11696,415,22494,2750,0
3561,6983,0,7272,0,25
1602,2180,0,3427,0,15
16428,11052,358,19750,4760,75
12733,10257,312,17789,0,54
2681,4215,0,5776,0,2
17174,11025,351,20487,4889,51
15938,10820,386,19660,4862,84
4065,4332,0,5426,0,0
2254,3294,0,4623,0,11
2698,4627,0,6518,0,20
19565,12286,427,25376,5492,0
3796,6505,0,8581,0,14
16701,9561,315,18249,5861,85
11612,8381,245,14129,0,80
15025,8181,290,15489,5451,62
6087,4489,17,6931,0,34
2449,4609,0,6658,0,26
18887,11664,446,24581,5779,2
16895,10656,409,21715,3993,0
2919,4989,0,7052,0,20
1736,2559,0,3662,0,2
4044,5834,0,7458,0,26
5852,4999,21,7343,0,0
14324,10223,304,17282,771,59
18782,11736,451,25038,5822,0
2878,4941,0,5986,0,16
14462,9657,209,16327,3927,54
2133,3417,0,4919,0,21
11828,9388,299,16126,0,60
2191,928,22,2114,0,22
19621,12291,432,22583,6050,90
9267,4752,127,9748,5022,1
12225,10204,307,17980,0,63
3163,4956,0,7621,0,0
1975,3692,0,5264,0,11
6527,3109,81,6952,2402,0
15851,9073,303,17096,5369,90
3801,6095,0,8498,0,0
4676,15154,0,14048,4,0
4405,6986,0,9018,0,29
1727,2345,0,3534,0,18
1760,2609,0,3573,0,22
12449,7602,250,13954,4386,56
15945,10982,373,19285,4931,61
16729,9315,333,17840,6105,95
12858,8812,223,15507,1731,47
10995,8859,343,15424,0,61
2052,3363,0,5203,0,56
14997,10483,258,18507,4237,80
15149,10538,346,18834,5110,86
14179,9035,269,16214,4414,67
16977,9505,328,18352,5813,75
6654,5072,119,9775,0,4
17130,11051,384,20557,5272,77
3921,5051,0,6608,0,14
17335,11438,338,20661,5694,108
3263,6234,0,8031,0,19
16528,11498,309,19857,4836,116
3769,5702,0,8372,0,49
2138,2727,0,4133,0,16
2389,4620,0,5641,0,8
2710,4752,0,6433,0,22
11780,6020,185,11809,5454,44
18691,11263,464,24375,5600,1
18034,12547,327,24658,5082,44
15276,10321,282,17779,4674,78
16667,9031,301,17252,6533,75
11622,9407,329,16589,0,61
15055,9619,248,17153,4420,82
16604,10445,437,21868,3576,0
1869,2673,0,4102,0,20
4420,6739,0,8622,0,22
11668,5992,134,11538,5341,70
10546,5565,283,13358,0,49
1349,2101,0,2884,0,1
13451,8495,248,15075,4955,62
10669,7677,230,13056,542,74
15304,10222,378,19000,4492,81
2252,3175,0,4576,0,24
2781,5347,0,7669,0,3
4891,5814,0,8241,0,22
20332,12188,475,26961,7082,0
13078,9442,422,18848,0,0
1832,2808,0,3956,0,2
6428,3096,79,6671,2663,0
14125,9218,193,16583,4486,52
13602,9159,223,15491,4288,111
1820,2837,0,4416,0,20
11079,7737,251,14190,0,48
15774,10575,258,17906,5667,64
13768,10689,428,20550,0,0
2036,3038,0,4399,0,21
2703,3865,0,5492,0,15
13856,10066,421,19502,0,1
4603,7170,0,10062,0,15
4607,6317,0,8659,0,21
5756,4911,30,7016,0,1
12982,8995,195,14731,2279,58
3015,1756,40,3826,0,0
9324,6000,120,10843,4499,2
6121,5468,127,7538,0,16
1895,2954,0,4199,0,0
1744,2986,0,3891,0,23
3099,4842,0,6933,0,21
11883,8121,231,13980,3991,47
14865,8811,276,15373,5263,88
13653,9277,190,15335,4210,127
17101,10793,357,19639,5710,68
12049,9418,302,15595,0,77
12056,7920,282,14017,3271,66
16093,8837,314,16855,5557,54
1652,2453,0,3643,0,13
19623,12961,514,27706,2551,0
15122,10315,255,17572,4608,70
11979,8632,207,13934,619,57
15365,10535,327,18023,3973,77
16242,9950,305,18375,4846,83
1256,2434,0,2608,0,13
16804,10456,312,19296,4748,89
14107,9135,266,15984,4338,69
9682,7575,238,13207,0,48
1762,2550,0,4264,0,17
17434,11498,342,20937,4846,77
3122,4606,0,6059,0,16
2612,4609,0,7040,0,25
16193,9984,237,17784,4826,57
16472,11773,320,20434,4769,113
12959,8398,208,14429,4763,51
15586,11462,268,19346,3798,51
13296,6869,242,13461,4768,52
2723,4251,0,5870,0,21
17970,11262,312,20001,5113,92
538,501,0,1059,0,8
4728,6362,0,8397,0,21
14752,8957,301,16002,4916,68
2823,4503,0,6346,0,19
16244,10551,322,19043,4824,79
11574,8730,275,15009,0,59
18895,12716,467,26133,5445,0
19368,12300,382,24486,6794,0
15531,9164,236,16405,5201,62
19023,12231,424,24632,5652,0
2663,4465,0,6395,0,8
13216,8693,178,14737,4336,59
15589,9013,292,16465,5461,114
10292,7197,279,13043,0,37
3102,4821,0,6478,0,19
9972,8005,194,13508,0,62
16492,9542,350,17753,5362,69
16156,9339,278,18770,4909,73
2463,4217,0,5900,0,26
985,1364,0,1830,0,0
2866,3814,0,5721,0,77
2171,4388,0,5727,0,18
16492,11321,419,20342,5357,78
18130,11446,408,20579,5812,68
11670,6433,131,11738,4386,46
15928,10800,441,22012,5002,0
20972,13015,478,28359,6518,1
14390,9107,221,16216,4235,38
16567,11589,367,20965,4713,102
2302,3116,0,4712,0,25
2195,4683,0,6002,0,19
11324,5298,182,14359,1154,56
17945,12473,262,20870,5612,108
8594,5084,149,10213,3530,3
17479,11537,368,21068,5059,77
15474,10997,264,19069,4840,61
15710,9714,230,17105,4727,69
3638,7256,0,9799,0,4
16772,10399,313,19741,5099,78
2286,3552,0,4928,0,31
16801,10330,410,19969,5478,142
12261,9066,350,15805,2574,68
18612,12023,481,24790,5741,10
4092,5835,0,8656,0,28
17752,11944,318,21830,5580,92
525,526,0,906,0,10
11910,9464,324,16443,0,57
4877,3422,29,6010,0,25
13157,7269,161,13136,5415,100
14887,11849,389,23700,0,0
3959,6385,0,9125,0,13
2168,4046,0,5659,0,13
16570,9384,354,17731,5693,57
11836,8604,262,15243,0,69
15356,9747,284,16491,4341,71
2425,4726,0,6122,0,19
14918,8563,295,15651,5557,57
4063,9014,0,8471,0,26
14825,9797,261,16820,4113,71
9904,4865,157,9922,5038,25
15613,11094,296,19360,4445,74
19025,12516,435,26062,5862,1
11431,5706,148,11239,5160,29
594,691,0,1311,0,10
3257,4849,0,6541,0,42
15316,10196,297,17918,3664,54
13829,9212,152,15371,4291,53
16511,11677,357,20607,4863,75
2954,5261,0,7208,0,23
17166,10623,364,19041,5116,70
1558,2212,0,3307,0,16
16966,10391,343,18676,4888,94
12627,8322,266,14088,1135,46
2852,4704,0,6737,0,20
19625,11974,423,25010,7208,0
10317,5360,175,12170,0,47
10261,7354,256,13077,0,27
16344,10408,323,19329,4935,65
19097,12372,468,26757,5716,0
2282,4375,0,5925,0,6
4199,5553,110,3843,0,2
16489,9620,305,17913,5512,110
10770,7068,282,13369,0,51
17508,10878,389,19124,5264,66
1585,2348,0,3549,0,40
18777,12046,473,24991,5639,0
1381,2284,0,3311,0,2
3279,4610,0,6389,0,37
12251,6152,212,12220,4789,54
12698,8385,193,14180,3862,48
16077,10796,259,18509,4585,70
14796,9131,232,16373,4190,88
16631,10638,252,18396,4345,63
16727,10665,366,19896,4629,73
746,744,0,1289,0,3
4207,5358,0,7194,0,16
9,0,0,0,2,0
5438,3846,50,6286,0,26
7619,3700,99,7974,4084,1
5505,4082,20,6369,0,41
19121,11890,418,22017,6312,134
2380,4256,0,5770,0,24
2063,3493,0,4627,0,24
16339,9267,301,17560,5829,110
2266,3880,0,5153,0,14
14293,12071,285,22457,0,0
11113,8226,318,14590,0,59
2377,3749,0,5286,0,17
2804,4987,0,6726,0,0
10476,8172,193,13363,0,40
1846,2842,0,4107,0,45
19116,11690,498,25242,6225,0
13910,8787,282,15422,4451,85
13366,9265,183,15208,3998,62
11477,8637,262,14897,0,63
8928,5773,228,10638,0,40
12196,9485,273,16331,0,76
13125,6930,161,13403,5547,71
3054,4333,0,6090,0,29
2732,1229,28,2777,0,29
1596,2702,0,3585,0,3
12177,5935,200,11947,5022,49
2108,3922,0,5466,0,11
19124,12459,391,22628,5916,110
13733,10679,359,18766,0,73
3821,6422,0,8312,0,0
17817,11681,432,23824,5138,135
18448,12685,370,25368,5421,1
9839,6673,200,11929,0,50
9492,4940,152,10258,4880,3
14094,9156,236,15478,4057,76
10782,5601,151,10671,4802,58
10113,7544,270,13375,0,41
16463,11195,398,19820,5055,63
3059,4677,0,6433,0,2
19155,12292,353,22322,5779,108
13721,8248,209,14637,4720,66
9512,6550,230,12511,0,49
13948,8799,230,16341,4461,46
13615,7662,224,14577,4462,55
4340,2420,75,5365,891,2
3687,5589,0,7355,0,29
12614,9413,344,18057,0,1
16561,9506,347,17516,5581,90
1947,3298,0,4742,0,22
563,599,0,1176,0,5
12751,6503,215,12624,5522,102
13053,9071,259,15430,2872,63
16636,11895,405,21512,3997,94
11450,6212,124,11382,5209,43
9006,6499,196,11081,0,46
12856,11739,275,19070,0,56
2075,3712,0,5306,0,19
28,832,0,64,0,0
3707,3943,0,5770,0,1
16954,11357,323,21285,5182,120
2487,4070,0,5647,0,35
3685,4670,0,6703,0,14
3023,4443,0,5958,0,32
3187,5177,0,6380,0,16
12322,9647,291,16458,0,72
9513,7978,200,12749,0,53
2897,4034,0,5741,0,25
16581,11075,363,19813,5140,60
2751,4433,0,6021,0,15
18103,11758,382,20829,5540,85
3154,4829,0,6895,0,1
172,451,0,356,0,0
15949,10451,341,19032,5006,74
19088,12106,398,22339,6038,101
5132,2380,48,5301,0,38
13171,8634,237,14607,2553,56
1841,2713,0,3867,0,27
6889,5020,22,7867,0,33
4856,6139,0,8444,0,22
1379,2289,0,3172,0,3
16301,9571,334,17376,5389,66
19980,12347,447,27428,6141,0
13446,8656,182,15567,4428,49
18376,11664,440,24147,5332,0
16955,9822,328,18354,5521,88
14886,10356,352,17925,1057,89
2785,4826,0,6671,0,18
16136,11369,356,20456,4731,72
3097,4934,0,6808,0,21
16819,10938,324,19802,5116,81
2532,4481,0,6468,0,21
12574,8810,194,14281,4069,44
3711,5888,0,7675,0,0
16458,12116,393,20886,4575,149
954,893,0,1730,0,5
2452,3681,0,5320,0,23
5686,2707,85,6389,1986,0
1146,2347,0,3058,0,11
7414,3709,110,7828,4010,1
11782,5909,175,11980,5235,37
11675,8849,276,15200,0,60
17873,10488,352,18306,4558,71
4105,7011,0,8653,0,13
15462,9377,309,16887,5069,79
19573,12757,419,26092,5731,0
2744,4584,0,6673,0,1
15110,9605,244,17024,4531,113
19528,12403,474,26649,5947,0
16759,10913,355,19340,4987,84
3272,3524,0,6628,0,26
12406,8506,244,14809,3999,74
16171,11091,335,19269,5070,118
12716,7199,127,12989,5208,59
2963,4235,0,5929,0,34
13773,7887,184,15192,5233,85
15294,10730,262,18223,4694,77
9556,7802,229,12924,0,54
14261,8349,249,15143,4690,68
1822,2998,0,4270,0,3
11479,8122,225,14257,1309,68
18178,11601,452,24231,5833,0
16613,10658,427,22025,3638,0
11059,6942,199,12064,2369,52
15571,10509,381,18959,4805,57
5809,4327,28,7040,0,30
2043,3204,0,4470,0,12
5683,6736,0,9225,2,1
2010,3260,0,4904,0,18
888,774,0,1425,0,12
4320,8460,0,8832,0,22
8541,7632,141,11050,0,42
17528,11488,385,20156,5190,79
15046,8528,328,15468,5450,66
15700,10657,200,18176,4714,151
20061,11865,477,25312,7234,0
8057,6167,166,9725,0,39
2631,4139,0,6241,0,23
13435,9082,180,15167,4297,78
1949,2590,0,3903,0,42
11386,6669,185,12560,3815,64
11886,5832,136,11005,5760,53
13260,8249,224,15030,4586,66
11424,7787,218,13919,2678,66
14797,10018,383,17549,2033,87
14092,10938,396,20989,0,0
2445,4380,0,5352,0,22
10127,7741,203,12920,0,37
2206,4128,0,5846,0,18
2648,1364,54,3201,53,1
2424,4662,0,5876,0,24
15189,9338,320,17070,4969,68
16872,11389,362,20509,5453,101
2657,4446,0,6798,0,20
17086,11115,451,23151,5426,121
1897,2913,0,4101,0,13
10946,5979,165,11113,4641,50
10197,5165,154,9988,4451,80
4016,6021,0,7978,0,10
16469,11255,437,22691,3831,0
18132,11744,369,20586,5456,101
15692,11103,315,20190,1804,92
13820,10948,210,16933,593,55
18430,11417,470,25248,6040,137
15668,10600,252,18380,4572,67
16430,11369,260,19439,4977,68
19016,12133,373,22077,6188,122
15484,9830,338,18415,5125,83
18951,12425,464,25925,5661,0
10080,5185,124,9993,4680,26
2298,3487,0,4827,0,12
9753,6280,157,11787,3258,58
2013,3721,0,4838,0,15
1286,1917,0,2755,0,3
2259,4171,0,5454,0,14
8964,4925,138,10045,4805,3
3691,4355,0,5976,0,1
10832,8308,221,13925,0,46
13351,8513,249,14933,4426,64
13027,7620,254,14486,4896,49
14296,10697,245,17018,1522,68
4592,5955,0,8447,0,16
16619,10246,267,19130,4713,91
14933,9862,368,17463,5113,50
4072,7268,0,9330,0,92
10872,9141,219,15168,0,64
4194,8074,0,8817,0,36
891,778,0,1523,0,0
12918,10197,389,17538,0,63
17757,12168,258,20614,5237,65
3494,6942,0,9031,0,0
16332,8949,295,16550,6740,46
13634,8601,218,15277,4444,70
3018,1565,54,3387,42,0
16040,10532,400,20697,2856,0
6998,5168,139,9967,0,4
3210,5051,0,6511,0,31
9097,6941,231,12267,0,51
2705,5627,0,7399,0,21
14670,9940,341,17921,2970,50
15232,8730,292,16641,4647,91
10766,5418,158,10274,4747,68
13166,7064,196,14058,5354,54
2285,4208,0,5560,0,44
4049,6498,0,8846,0,25
18637,12002,411,21233,5781,123
16457,10272,212,17390,5531,93
13819,9164,221,16368,4359,59
586,688,0,1049,0,0
9839,5073,223,12053,0,30
1360,2039,0,3038,0,0
9131,4513,114,9588,5000,1
18837,12065,450,25778,5460,0
5555,3458,210,8169,443,0
3551,1917,67,4496,149,10
13811,7614,193,14616,5631,86
3294,1569,40,3661,34,1
4765,8846,0,9909,0,14
11963,9123,261,15513,0,62
16701,10626,342,19293,4750,131
11464,9419,261,15882,0,60
10235,5446,196,12627,0,45
13519,8538,257,15053,3522,55
12176,8184,249,13666,971,38
16618,9841,310,17936,5285,114
15466,8880,311,16701,5268,62
2910,4208,0,6437,0,1
12068,6187,190,12126,4973,77
2109,3300,0,4711,0,19
1512,1838,0,2915,0,0
2902,4399,0,6739,0,1
15962,10081,361,18459,4710,74
8241,4904,99,8679,901,24
18054,11401,358,20069,5530,108
9059,6636,186,10915,0,36
2970,1602,55,3627,0,1
2280,3635,0,5382,0,14
13449,6815,243,13550,5596,106
19515,12465,386,26030,6147,150
19547,12707,458,26165,5745,0
3531,5568,0,7541,0,34
19081,12298,462,25207,5569,0
15462,10191,373,18451,5000,82
16479,10552,371,19335,4528,74
1677,2593,0,3849,0,19
17286,11158,271,19497,4885,65
8405,6122,156,10569,0,55
2086,772,20,1888,0,24
12935,9282,322,16301,2924,67
2607,3502,0,5840,0,0
13634,10232,371,18038,1112,52
17653,11287,472,24190,5380,76
2516,1016,15,2354,0,30
11796,5801,168,11817,5235,55
12368,9422,363,18705,0,0
10459,6772,179,11968,917,58
10552,8025,254,13727,0,50
2825,4910,0,6406,0,17
17090,11327,292,20321,5753,117
13492,8348,175,14959,4656,49
8636,6882,60,10697,0,45
2323,4005,0,4997,0,27
3889,6929,0,8827,0,12
2544,5047,0,6831,0,25
15314,11367,367,18266,4364,76
9469,6426,222,11375,0,43
15437,8969,312,16007,5151,56
13498,7809,273,14397,4780,42
15871,10476,310,19018,4607,69
2227,3231,0,4579,0,19
18416,11639,347,21093,5737,71
1869,3197,0,4669,4,19
12648,6421,213,12437,5072,56
11095,8629,320,14569,0,63
3287,5006,0,6519,0,42
2111,767,19,1877,0,18
16541,10792,282,19038,5135,76
14973,9509,276,17188,4285,112
3084,1558,52,3519,49,0
2729,3929,0,5591,0,30
9344,7810,158,12178,0,43
13618,10066,281,20355,0,0
20196,14773,381,27274,6270,1
13327,10650,441,20494,0,1
485,2537,0,440,37,0
16261,10347,340,18625,5118,91
8728,8728,119,11240,0,74
2993,4715,0,6276,0,17
1377,1935,0,2952,0,14
3201,5410,0,7001,0,21
12690,8920,162,13686,3786,1105
16225,10752,370,20100,4952,91
13983,7616,255,14158,4924,50
17008,9756,333,18260,5945,87
2352,3874,0,5703,0,33
18655,11206,473,24236,5993,0
15725,8498,290,16844,5324,58
15571,10783,386,20872,838,0
4309,2260,46,4470,0,63
2733,4674,0,6635,0,12
11439,8952,304,16302,0,49
16307,9324,340,17544,5964,90
15296,9596,340,17364,2279,84
13220,6932,235,13692,5362,56
15004,9893,271,17401,4520,144
13351,8501,229,15343,4725,59
16811,11939,388,21002,5082,67
16785,9652,382,18088,5806,58
1836,4736,0,5122,0,11
3012,2336,59,3738,0,0
7522,5894,75,9896,0,0
14923,9251,292,16548,4134,90
15716,9235,302,16929,5234,73
2945,2568,0,5160,0,26
4666,6110,0,8155,0,17
16736,12125,271,20324,5107,94
4497,2636,76,5496,850,3
8080,5927,182,10283,0,41
20862,12622,478,27974,6723,0
3044,1684,63,3666,72,0
16685,10875,266,19046,4712,84
9840,5081,93,9188,4393,50
16179,9691,244,17227,5709,87
1,0,0,4,0,0
2020,3445,0,5028,0,34
1420,1907,0,3035,0,12
15765,8633,284,16256,5961,47
2702,4369,0,6920,0,33
12032,10241,300,15122,4884,56
17903,10604,389,19884,6207,89
12696,8960,327,15477,3405,54
2913,5869,0,6972,0,2
19158,11821,419,22058,6120,67
21,0,1,10,8,0
12138,9564,308,16424,0,58
2541,4171,0,5337,0,12
15962,10907,361,19041,4636,67
15933,9224,315,17131,5186,54
11414,8630,293,14783,0,64
4527,5881,0,7983,0,19
2435,1014,25,2387,0,27
13725,10083,257,16396,2039,54
2479,3521,0,4903,0,0
16326,11740,314,20496,4733,81
5214,6141,0,6925,0,0
12776,9536,421,19204,0,0
12822,6361,176,12798,5085,73
9247,4624,131,9710,4853,6
6282,3971,49,7008,0,39
12029,6319,100,11191,5591,56
3220,4787,0,6099,0,30
16427,12551,306,22808,2053,1
1843,3261,0,4842,0,11
2971,4809,0,6471,0,21
2062,3396,0,4890,0,29
16743,10003,289,18598,5665,98
14794,9746,267,16438,4737,64
8915,6484,188,10986,0,69
12644,7607,224,13913,4633,55
13570,9092,224,14802,3337,62
36,78,0,21,3,0
14363,8534,241,16272,5140,110
9293,7980,159,12601,0,45
16004,8666,284,16823,6048,47
14898,9639,268,17225,4795,68
15624,10409,376,18010,4978,69
13897,8834,256,15412,4604,67
5918,4376,113,8540,0,3
1788,711,20,1714,27,14
15012,10006,278,17394,4617,63
2389,1013,18,2389,0,21
13343,8664,224,15129,4322,104
14158,9736,322,17267,2795,67
13723,8795,255,15675,4227,50
6275,3094,92,6537,2527,1
3735,2108,63,4605,140,16
16522,10963,345,19721,5551,65
6021,3057,41,6156,0,39
2400,847,18,2299,0,36
7046,5060,133,10048,0,2
14678,9684,232,16618,3827,94
13072,11190,322,19284,0,50
10835,9020,205,14696,0,68
12304,7426,267,13727,1217,42
16090,11395,347,20162,4652,95
16008,8818,269,16473,6887,76
15093,10909,320,17845,2524,88
4766,5885,0,7828,0,23
3330,5908,0,7685,0,33
13517,7067,250,13741,5340,38
18176,11790,428,24814,5698,0
7246,4565,94,8304,0,43
13605,8230,260,15712,4796,69
15234,8655,304,16176,5157,71
7358,4799,83,8416,0,51
1835,3029,0,4304,0,27
14002,8943,237,15814,4669,35
13977,10088,199,15873,2973,62
11478,8901,234,14947,0,81
9639,5855,115,10813,4784,5
15753,9203,270,17369,5183,115
2060,3718,0,4989,0,1
6,0,0,13,0,0
2113,3514,0,4362,0,25
16515,9313,288,17924,6045,79
3792,5316,0,7711,0,20
17055,11668,450,23975,2072,13
17767,12251,344,22953,5243,88
14093,9194,188,16142,4374,72
15462,9033,287,16468,5400,69
2116,3635,0,5166,0,15
3336,4532,0,6482,0,16
10609,6167,143,11415,4464,51
2470,4481,0,6197,0,22
2320,4285,0,6017,0,17
14998,9167,317,16406,5297,56
2093,791,24,2000,0,14
11326,5558,153,11361,5060,34
16939,8742,341,17743,6211,97
14116,8863,225,15990,4392,54
17414,11086,318,19881,4917,71
11434,8254,248,13939,2642,49
1939,3626,0,4918,0,18
14653,9360,176,15852,3994,80
14214,9565,263,16618,4049,104
13752,7333,194,13984,4941,31
2573,4084,0,5643,0,17
11445,9039,215,14506,0,54
4154,6325,0,8797,0,17
10443,8835,262,14540,0,41
17139,9723,369,22739,6000,0
12264,7130,217,13291,1925,55
1473,2326,0,3350,0,30
14266,9665,248,16658,3458,60
12837,8514,181,14617,4692,67
11472,5796,179,11497,5366,56
15708,8764,325,16434,5252,110
2417,3853,0,5766,0,21
16229,11175,421,19552,5001,54
14273,9779,302,17029,4072,121
17017,9626,325,18501,5744,75
12692,6269,189,12158,5132,53
11841,5825,194,11846,5086,49
2130,4063,0,5204,0,29
12502,9667,331,15883,0,71
14427,9851,169,17155,3529,73
4855,6268,0,8404,0,22
18610,12106,461,25270,5744,9
16232,8903,310,17113,5857,72
10172,5042,116,9436,4866,72
2435,4340,0,6227,0,15
11183,8741,215,14127,0,119
2079,953,23,2185,14,11
4050,2306,72,5347,869,0
16019,10179,307,18489,5868,160
11004,5523,129,10359,4731,77
2035,4008,0,5240,0,22
12248,6821,165,12700,4919,45
1955,2981,0,4777,0,18
1569,3203,0,4099,0,14
17223,11618,355,20989,5625,73
15789,10273,280,18080,4378,85
13109,9653,380,20317,0,0
2032,3506,0,4891,0,28
15032,8449,281,15625,5217,61
11236,8943,200,14207,0,64
4396,6369,0,8993,0,84
13042,9011,161,14820,2928,93
12670,9420,188,15280,2969,55
5431,3887,18,6497,0,66
2026,3035,0,4398,0,36
56,1938,0,67,10,0
12670,7783,220,14208,4386,56
